State,District,Year,Crime_Category,Crime_Category_Code,Total_Cases
Karnataka,Yadgir,2024,IPC_BNS_Crimes,IPC,1582
Karnataka,Bagalkot,2021,Juvenile_IPC_Crimes,Juvenile_IPC,0
Karnataka,Ballari,2021,Juvenile_IPC_Crimes,Juvenile_IPC,12
Karnataka,Belagavi,2021,Juvenile_IPC_Crimes,Juvenile_IPC,25
Karnataka,Bengaluru Rural,2021,Juvenile_IPC_Crimes,Juvenile_IPC,12
Karnataka,Bengaluru Urban,2021,Juvenile_IPC_Crimes,Juvenile_IPC,150
Karnataka,Bidar,2021,Juvenile_IPC_Crimes,Juvenile_IPC,10
Karnataka,Chamarajanagara,2021,Juvenile_IPC_Crimes,Juvenile_IPC,9
Karnataka,Chikkaballapura,2021,Juvenile_IPC_Crimes,Juvenile_IPC,11
Karnataka,Chikkamagaluru,2021,Juvenile_IPC_Crimes,Juvenile_IPC,1
Karnataka,Chitradurga,2021,Juvenile_IPC_Crimes,Juvenile_IPC,0
Karnataka,Dakshina Kannada,2021,Juvenile_IPC_Crimes,Juvenile_IPC,4
Karnataka,Davanagere,2021,Juvenile_IPC_Crimes,Juvenile_IPC,0
Karnataka,Dharwad,2021,Juvenile_IPC_Crimes,Juvenile_IPC,20
Karnataka,Gadag,2021,Juvenile_IPC_Crimes,Juvenile_IPC,0
Karnataka,Hassan,2021,Juvenile_IPC_Crimes,Juvenile_IPC,8
Karnataka,Haveri,2021,Juvenile_IPC_Crimes,Juvenile_IPC,10
Karnataka,Kalaburagi,2021,Juvenile_IPC_Crimes,Juvenile_IPC,18
Karnataka,Kodagu,2021,Juvenile_IPC_Crimes,Juvenile_IPC,0
Karnataka,Kolar,2021,Juvenile_IPC_Crimes,Juvenile_IPC,13
Karnataka,Koppal,2021,Juvenile_IPC_Crimes,Juvenile_IPC,0
Karnataka,Mandya,2021,Juvenile_IPC_Crimes,Juvenile_IPC,22
Karnataka,Mysuru,2021,Juvenile_IPC_Crimes,Juvenile_IPC,14
Karnataka,Raichur,2021,Juvenile_IPC_Crimes,Juvenile_IPC,0
Karnataka,Ramanagara,2021,Juvenile_IPC_Crimes,Juvenile_IPC,0
Karnataka,Shivamogga,2021,Juvenile_IPC_Crimes,Juvenile_IPC,12
Karnataka,Tumakuru,2021,Juvenile_IPC_Crimes,Juvenile_IPC,35
Karnataka,Udupi,2021,Juvenile_IPC_Crimes,Juvenile_IPC,2
